accession_version	taxon_id	species	gene_id	sequence_length	length_ratio_to_query	isoform_label	archive_scope	source_record_status	selection_status	reason_code	evidence_note
NP_001394562.1	9606	Homo sapiens	672	1861	0.998926	14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394563.1	9606	Homo sapiens	672	1861	0.998926	14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394564.1	9606	Homo sapiens	672	1861	0.998926	14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394565.1	9606	Homo sapiens	672	1861	0.998926	14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394566.1	9606	Homo sapiens	672	1861	0.998926	14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394567.1	9606	Homo sapiens	672	1861	0.998926	14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394568.1	9606	Homo sapiens	672	1861	0.998926	15	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394569.1	9606	Homo sapiens	672	1861	0.998926	15	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394570.1	9606	Homo sapiens	672	1861	0.998926	15	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394571.1	9606	Homo sapiens	672	1861	0.998926	15	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394573.1	9606	Homo sapiens	672	1860	0.998390	16	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394574.1	9606	Homo sapiens	672	1860	0.998390	16	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394575.1	9606	Homo sapiens	672	1859	0.997853	17	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394576.1	9606	Homo sapiens	672	1858	0.997316	18	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394577.1	9606	Homo sapiens	672	1844	0.989801	19	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394578.1	9606	Homo sapiens	672	1843	0.989265	20	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394581.1	9606	Homo sapiens	672	1837	0.986044	21	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394582.1	9606	Homo sapiens	672	1837	0.986044	22	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394583.1	9606	Homo sapiens	672	1837	0.986044	22	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394584.1	9606	Homo sapiens	672	1837	0.986044	22	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394585.1	9606	Homo sapiens	672	1836	0.985507	23	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394586.1	9606	Homo sapiens	672	1836	0.985507	24	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394587.1	9606	Homo sapiens	672	1836	0.985507	24	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394588.1	9606	Homo sapiens	672	1835	0.984970	25	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394589.1	9606	Homo sapiens	672	1835	0.984970	25	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394590.1	9606	Homo sapiens	672	1835	0.984970	26	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394591.1	9606	Homo sapiens	672	1835	0.984970	26	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394592.1	9606	Homo sapiens	672	1835	0.984970	93	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394593.1	9606	Homo sapiens	672	1822	0.977992	27	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394594.1	9606	Homo sapiens	672	1822	0.977992	27	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394595.1	9606	Homo sapiens	672	1822	0.977992	27	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394596.1	9606	Homo sapiens	672	1822	0.977992	27	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394597.1	9606	Homo sapiens	672	1822	0.977992	27	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394598.1	9606	Homo sapiens	672	1822	0.977992	27	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394599.1	9606	Homo sapiens	672	1821	0.977456	28	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394600.1	9606	Homo sapiens	672	1821	0.977456	28	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394601.1	9606	Homo sapiens	672	1821	0.977456	28	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394602.1	9606	Homo sapiens	672	1821	0.977456	28	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394603.1	9606	Homo sapiens	672	1821	0.977456	29	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394604.1	9606	Homo sapiens	672	1821	0.977456	29	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394605.1	9606	Homo sapiens	672	1821	0.977456	29	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394606.1	9606	Homo sapiens	672	1821	0.977456	30	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394607.1	9606	Homo sapiens	672	1821	0.977456	30	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394608.1	9606	Homo sapiens	672	1821	0.977456	30	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394609.1	9606	Homo sapiens	672	1821	0.977456	30	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394610.1	9606	Homo sapiens	672	1820	0.976919	31	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394611.1	9606	Homo sapiens	672	1820	0.976919	31	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394612.1	9606	Homo sapiens	672	1820	0.976919	31	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394613.1	9606	Homo sapiens	672	1820	0.976919	32	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394614.1	9606	Homo sapiens	672	1820	0.976919	33	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394615.1	9606	Homo sapiens	672	1820	0.976919	33	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394616.1	9606	Homo sapiens	672	1820	0.976919	33	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394617.1	9606	Homo sapiens	672	1820	0.976919	34	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394618.1	9606	Homo sapiens	672	1820	0.976919	34	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394619.1	9606	Homo sapiens	672	1819	0.976382	35	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394620.1	9606	Homo sapiens	672	1819	0.976382	35	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394621.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394623.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394624.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394625.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394626.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394627.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394653.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394654.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394655.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394656.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394657.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394658.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394659.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394660.1	9606	Homo sapiens	672	1816	0.974772	3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394661.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394662.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394663.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394664.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394665.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394666.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394667.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394668.1	9606	Homo sapiens	672	1815	0.974235	36	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394669.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394670.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394671.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394672.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394673.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394674.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394675.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394676.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394677.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394678.1	9606	Homo sapiens	672	1815	0.974235	37	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394679.1	9606	Homo sapiens	672	1815	0.974235	38	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394680.1	9606	Homo sapiens	672	1815	0.974235	38	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394681.1	9606	Homo sapiens	672	1815	0.974235	38	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394767.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394768.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394770.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394771.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394772.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394773.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394774.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394775.1	9606	Homo sapiens	672	1814	0.973698	39	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394776.1	9606	Homo sapiens	672	1814	0.973698	40	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394777.1	9606	Homo sapiens	672	1814	0.973698	40	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394778.1	9606	Homo sapiens	672	1814	0.973698	40	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394779.1	9606	Homo sapiens	672	1814	0.973698	41	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394780.1	9606	Homo sapiens	672	1814	0.973698	41	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394781.1	9606	Homo sapiens	672	1814	0.973698	41	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394782.1	9606	Homo sapiens	672	1814	0.973698	42	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394783.1	9606	Homo sapiens	672	1803	0.967794	43	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394787.1	9606	Homo sapiens	672	1802	0.967257	44	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394788.1	9606	Homo sapiens	672	1802	0.967257	44	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394789.1	9606	Homo sapiens	672	1802	0.967257	45	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394790.1	9606	Homo sapiens	672	1801	0.966720	46	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394791.1	9606	Homo sapiens	672	1796	0.964037	47	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394792.1	9606	Homo sapiens	672	1795	0.963500	48	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
