tip_id	analysis_role	inclusion_status	selection_order	reason_codes	accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes	sequence_sha256
XP_044274665.1	expanded	selected	31		XP_044274665.1	61221	Varanus komodoensis	ingroup	ortholog	false	false	false	0.867955	1659	450	2.27e-64	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Varanus komodoensis Annotation Release 100	2026-08-13	Lepidosauria	XP_044274665.1	BRCA1	BRCA1 DNA repair associated		expanded	0.915009	30.635	1717	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (29-69); tandem C-terminal BRCT (1441-1526;1558-1623)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 29-69; BRCT 1441-1526;1558-1623).	9c7b7e9ccba54b510e31ae97622ccd927334e0597c3cccf500cd087477aa3185
XP_026576759.1	expanded	selected	32		XP_026576759.1	8673	Pseudonaja textilis	ingroup	ortholog	false	false	false	0.490607	1563	487.7	5.49e-80	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Pseudonaja textilis Annotation Release 100	2026-08-13	Lepidosauria	XP_026576759.1	BRCA1	BRCA1 DNA repair associated		expanded	0.59245	36.68	1006	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (23-64); tandem C-terminal BRCT (1343-1425;1456-1544)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 23-64; BRCT 1343-1425;1456-1544).	ca4a73f151eea970d6f9d32aef847bac3e41f619e42eea043513a1719222e31a
XP_034272113.1	expanded	selected	33		XP_034272113.1	94885	Pantherophis guttatus	ingroup	ortholog	false	false	false	0.362856	1869	498.2	7.51e-76	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_029531705.1-RS_2023_10	2026-08-13	Lepidosauria	XP_034272113.1	BRCA1	BRCA1 DNA repair associated		expanded	0.355805	42.336	685	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1646-1731;1762-1850)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1646-1731;1762-1850).	a217932a1b6680829ffefd5b86468fdfbe9886b588f7b21e638553817e1ab593
NP_001029141.1	expanded	selected	34		NP_001029141.1	13616	Monodelphis domestica	ingroup	ortholog	true	false	false	0.996779	1840	1321	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_027887165.2-RS_2026_06	2026-08-13	Marsupialia	NP_001029141.1	BRCA1	BRCA1 DNA repair associated		expanded	0.996739	46.215	1889	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1615-1703;1735-1822)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1615-1703;1735-1822).	10afcd37e6b72aa91da338d282402fba97a45cc2668411cb2af722c1b7ec4038
XP_020828279.1	expanded	selected	35		XP_020828279.1	38626	Phascolarctos cinereus	ingroup	ortholog	false	false	false	0.996779	1857	1448	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_003287225.1-RS_2025_12	2026-08-13	Marsupialia	XP_020828279.1	BRCA1	BRCA1 DNA repair associated		expanded	0.996769	48.103	1898	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1635-1720;1752-1839)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1635-1720;1752-1839).	973398a2cd725adb792d38362eb3574fc4821f5304fcc0c340de57cbf5e62ffa
XP_074079897.1	expanded	selected	36		XP_074079897.1	92651	Macrotis lagotis	ingroup	ortholog	false	false	false	0.996779	1835	1283	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_037893015.1-RS_2025_05	2026-08-13	Marsupialia	XP_074079897.1	BRCA1	BRCA1 DNA repair associated		expanded	0.997275	45.664	1914	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1617-1699;1730-1818)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1617-1699;1730-1818).	264ee627ae72a07a8cde2d4be18d30b87ed9eed3cbad17df39d2d2d6b54baa96
XP_017364815.1	expanded	selected	37		XP_017364815.1	2715852	Cebus imitator	ingroup	ortholog	false	false	false	1	1864	3247	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Cebus imitator Annotation Release 101	2026-08-13	Primates	XP_017364815.1	BRCA1	BRCA1 DNA repair associated		expanded	1	87.179	1872	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1645-1727;1759-1846)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1645-1727;1759-1846).	127618244e1fb1abead4c297ba32ec763122a53cd01b1ffe58f33a056b5b701c
XP_045382602.1	expanded	selected	38		XP_045382602.1	9447	Lemur catta	ingroup	ortholog	false	false	false	0.997853	1849	2859	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Lemur catta Annotation Release 100	2026-08-13	Primates	XP_045382602.1	BRCA1	BRCA1 DNA repair associated		expanded	0.994051	77.855	1865	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1623-1705;1737-1824)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1623-1705;1737-1824).	4be8b70a1ce6d73835b4d70c902baea1906592506c2d8ddc47cc5d66c38bfa71
NP_001108421.1	expanded	selected	39		NP_001108421.1	9544	Macaca mulatta	ingroup	ortholog	true	false	false	1	1863	3504	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_049350105.2-RS_2025_08	2026-08-13	Primates	NP_001108421.1	BRCA1	BRCA1 DNA repair associated		expanded	1	93.026	1864	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).	cf3a2fc075c3ccc8eb49aab81f1efcd653f7b12d7d9c73e2aa10363f8bd8d213
NP_001038958.1	expanded	selected	40		NP_001038958.1	9598	Pan troglodytes	ingroup	ortholog	true	false	false	1	1863	3766	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_028858775.2-RS_2026_05	2026-08-13	Primates	NP_001038958.1	BRCA1	BRCA1 DNA repair associated		expanded	1	98.229	1863	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).	bb3412c20abc375883b35d6159f0b1b00112d082d28057e905dfd45b090158ec
XP_006125762.2	expanded	selected	41		XP_006125762.2	13735	Pelodiscus sinensis	ingroup	ortholog	false	false	false	0.996779	1890	805	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_049634645.1-RS_2025_08	2026-08-13	Testudines	XP_006125762.2	BRCA1	BRCA1 DNA repair associated		expanded	0.999471	37.362	1986	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1676-1758;1790-1877)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1676-1758;1790-1877).	ea74d5a64ebb0263d6d77ed6ad169c994dc2205bac1a3e57b2c559fe6dfd7199
XP_027690803.2	expanded	selected	42		XP_027690803.2	8469	Chelonia mydas	ingroup	ortholog	false	false	false	0.996779	1908	885	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Chelonia mydas Annotation Release 103	2026-08-13	Testudines	XP_027690803.2	BRCA1	BRCA1 DNA repair associated		expanded	0.999476	38.078	1988	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1695-1777;1809-1895)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1695-1777;1809-1895).	97e5a78ee2407fa5e5e5ec8132775432f66bd0a6774d935b12ff216c26a7d871
XP_023967135.2	expanded	selected	43		XP_023967135.2	8478	Chrysemys picta bellii	ingroup	ortholog	false	false	false	0.996779	1908	858	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_011386835.1-RS_2024_05	2026-08-13	Testudines	XP_023967135.2	BRCA1	BRCA1 DNA repair associated		expanded	0.999476	37.562	2010	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1695-1777;1809-1895)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1695-1777;1809-1895).	3f0729614fd813417d8d137b74d74f4b68e9c833291720a4b8d3db178faaff2c
XP_037665688.1	expanded	selected	44		XP_037665688.1	27675	Choloepus didactylus	ingroup	ortholog	false	false	false	0.998926	1862	2739	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Choloepus didactylus Annotation Release 100	2026-08-13	Xenarthra	XP_037665688.1	BRCA1	BRCA1 DNA repair associated		expanded	0.998926	75.694	1872	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1643-1725;1757-1844)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1643-1725;1757-1844).	e3308a38057a6efe9460773941d8738bb62fc143629bdc8c59f0fd6004c6814f
XP_058140293.1	expanded	selected	45		XP_058140293.1	9361	Dasypus novemcinctus	ingroup	ortholog	false	false	false	0.997853	1839	2667	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030445035.2-RS_2025_01	2026-08-13	Xenarthra	XP_058140293.1	BRCA1	BRCA1 DNA repair associated		expanded	1	74.397	1867	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1624-1706;1738-1825)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1624-1706;1738-1825).	6c608533ec051e665321d36b75e716f83f04864ff3f80a94c07a1a8ad88ae890
XP_053555561.1	outgroup	selected	46		XP_053555561.1	8345	Bombina bombina	outgroup	ortholog	false	false	false	0.432636	1660	552.7	1.7e-71	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_027579735.1-RS_2023_03	2026-08-13	Anura	XP_053555561.1	BRCA1	BRCA1 DNA repair associated		outgroup	0.461446	41.983	817	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (1-35); tandem C-terminal BRCT (1454-1533;1565-1650)			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	amphibian outgroup candidate; replacement selected after the original Ascaphus model failed the two-BRCT gate; root only after split and stability review QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 1-35; BRCT 1454-1533;1565-1650).	57c1eb13ab482a991c9b8c77f093b9ac712813981dc1480f88360d6b2c66ba87
NP_001107963.1	outgroup	selected	47		NP_001107963.1	8364	Xenopus tropicalis	outgroup	ortholog	true	false	false	0.385937	1592	400	1.31e-64	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Xenopus tropicalis Annotation Release 104	2026-08-13	Anura	NP_001107963.1	brca1	BRCA1 DNA repair associated		outgroup	0.431533	36.536	739	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (19-60); tandem C-terminal BRCT (1368-1462;1494-1582)			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	amphibian outgroup candidate; root only after split and stability review QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 19-60; BRCT 1368-1462;1494-1582).	2c0867acc18f63c71c88eeed6c6dd7c805c5805ccb07cf305150e1e4ad8ecfb1
XP_069490300.1	outgroup	selected	48		XP_069490300.1	8296	Ambystoma mexicanum	outgroup	ortholog	false	false	false	0.548578	1955	554.7	8.2e-72	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_040938575.1-RS_2024_10	2026-08-13	Caudata	XP_069490300.1	BRCA1	BRCA1 DNA repair associated		outgroup	0.532992	39.358	1090	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1742-1824;1856-1942)			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	amphibian outgroup candidate; root only after split and stability review QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1742-1824;1856-1942).	2643616d275f5b932982b2395f766853bf266c170b966ea3531990f944ac04ce
XP_069093862.1	outgroup	selected	49		XP_069093862.1	8319	Pleurodeles waltl	outgroup	ortholog	false	false	false	0.702093	1957	543	2.59e-73	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_031143425.1-RS_2024_08	2026-08-13	Caudata	XP_069093862.1	BRCA1	BRCA1 DNA repair associated		outgroup	0.674502	32.76	1395	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1744-1826;1858-1944)			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	amphibian outgroup candidate; root only after split and stability review QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1744-1826;1858-1944).	94f732bf353cfbc67392427c643c97f1d40c6159b355c256cf62c874e79e2339
XP_029429046.1	outgroup	selected	50		XP_029429046.1	194408	Rhinatrema bivittatum	outgroup	ortholog	false	false	false	0.585078	1920	592	5.53e-87	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_901001135.2-RS_2026_03	2026-08-13	Gymnophiona	XP_029429046.1	BRCA1	BRCA1 DNA repair associated		outgroup	0.59375	37.478	1158	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1706-1788;1820-1907)			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	amphibian outgroup candidate; root only after split and stability review QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1706-1788;1820-1907).	a153defd494517318bed78d6d815b33414b090bb364843355551660f698f8273
